Negeri,PPD,KodSekolah,NamaSekolah,CountOfKPUtama
SELANGOR,PPD GOMBAK,BBA7101,SK SELAYANG BARU (2),66
SELANGOR,PPD GOMBAK,BBA7102,SK (2) TAMAN SELAYANG,67
SELANGOR,PPD GOMBAK,BBA7103,SK (2) TAMAN KERAMAT,34
SELANGOR,PPD GOMBAK,BBA7201,SK HULU KELANG,47
SELANGOR,PPD GOMBAK,BBA7202,SK KLANG GATE,29
SELANGOR,PPD GOMBAK,BBA7203,SK GOMBAK SETIA,86
SELANGOR,PPD GOMBAK,BBA7204,SK GOMBAK UTARA,63
SELANGOR,PPD GOMBAK,BBA7205,SK SG TUA BAHARU,101
SELANGOR,PPD GOMBAK,BBA7206,SK KEPONG,35
SELANGOR,PPD GOMBAK,BBA7207,SK RAWANG,39
SELANGOR,PPD GOMBAK,BBA7208,SK KUANG,89
SELANGOR,PPD GOMBAK,BBA7209,SK SG SERAI,37
SELANGOR,PPD GOMBAK,BBA7210,SK SG PELONG,107
SELANGOR,PPD GOMBAK,BBA7211,SK TAMAN KERAMAT (1),41
SELANGOR,PPD GOMBAK,BBA7212,SK SG BULUH,105
SELANGOR,PPD GOMBAK,BBA7213,SK TAMAN EHSAN,59
SELANGOR,PPD GOMBAK,BBA7214,SK TAMAN MELAWATI,85
SELANGOR,PPD GOMBAK,BBA7215,SK (1) TAMAN SELAYANG,70
SELANGOR,PPD GOMBAK,BBA7216,SK TAMAN SERI GOMBAK,132
SELANGOR,PPD GOMBAK,BBA7217,SK LEMBAH KERAMAT,78
SELANGOR,PPD GOMBAK,BBA7219,SK SELAYANG JAYA,56
SELANGOR,PPD GOMBAK,BBA7220,SK BANDAR BARU SELAYANG,44
SELANGOR,PPD GOMBAK,BBA7221,SK TAMAN SELASIH,79
SELANGOR,PPD GOMBAK,BBA7222,SK TAMAN PERMATA,55
SELANGOR,PPD GOMBAK,BBA7224,SK TAMAN MELAWATI 2,124
SELANGOR,PPD GOMBAK,BBA7225,SK SELAYANG UTAMA,42
SELANGOR,PPD GOMBAK,BBA7226,SK SUNGAI KERTAS,52
SELANGOR,PPD GOMBAK,BBA7227,SK TAMAN SAMUDRA,45
SELANGOR,PPD GOMBAK,BBA7228,SK SUNGAI PUSU,78
