Bil,Peringkat Sekolah,PPD,Kod Sekolah,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax,CountOfKPUtama,TOTAL_STUDENT,RATIO_STUDENT_RATIO,Lat,Lng
1099,Rendah,PPD KLANG,BBA0001,SK KLANG,JALAN DATO'  HAMZAH,41000,KLANG,SELANGOR,0333712957,0333712957,55,642,11.67272727,3.076818,101.509805
1100,Rendah,PPD KLANG,BBA0002,SK TELOK GADONG,JALAN YADI,41250,KLANG,SELANGOR,0333713193,0333701362,107,1232,11.51401869,3.0385086,101.4188951
1101,Rendah,PPD KLANG,BBA0003,SK PELABUHAN KELANG,JALAN SEKOLAH,42000,PELABUHAN KLANG,SELANGOR,0331686848,0331686848,57,762,13.36842105,3.000575,101.4005845
1102,Rendah,PPD KLANG,BBA0004,SK TELOK MENEGON,"BATU 3, JALAN KOTA RAJA",41000,KLANG,SELANGOR,0333713852,0333701020,79,1393,17.63291139,3.0397323,101.4519493
1103,Rendah,PPD KLANG,BBA0005,SK BUKIT NAGA,"BATU 6, KG. BUKIT NAGA",40460,SHAH ALAM,SELANGOR,0351616852,0351613859,94,1838,19.55319149,0,0
1104,Rendah,PPD KLANG,BBA0006,SK JALAN KEBUN,"BATU 7 1/2 JALAN KEBUN, SEKSYEN 30",40460,SHAH ALAM,SELANGOR,0351611993,0351615004,104,1997,19.20192308,2.9865359,101.5027865
1105,Rendah,PPD KLANG,BBA0007,SK BATU BELAH,JALAN RANTAU PANJANG,42100,KLANG,SELANGOR,0333415475,0333415475,86,1577,18.3372093,3.0687236,101.411769
1106,Rendah,PPD KLANG,BBA0008,SK RANTAU PANJANG,"JALAN GENTING, RANTAU PANJANG",42100,KLANG,SELANGOR,0332911582,0332911512,175,2994,17.10857143,3.044917,101.4455621
1107,Rendah,PPD KLANG,BBA0009,SK SEMENTA,"BATU 6, JALAN KAPAR",42100,KLANG,SELANGOR,0332911308,0332911308,109,1875,17.20183486,3.0893998,101.4144881
1108,Rendah,PPD KLANG,BBA0010,SK KAPAR,PEJABAT POS KAPAR,42200,KAPAR,SELANGOR,0332508335,0332508335,59,709,12.01694915,3.1252401,101.3998518
1109,Rendah,PPD KLANG,BBA0011,SK BUKIT KAPAR,"JALAN SETIA JAYA, KG BUKIT KAPAR",42200,KAPAR,SELANGOR,0333922087,0333922087,110,2001,18.19090909,3.1252401,101.3998518
1110,Rendah,PPD KLANG,BBA0012,SK SUNGAI BINJAI,"BATU 6, PEKAN MERU",41050,KLANG,SELANGOR,0333921048,0333921048,184,3249,17.6576087,3.1334027,101.4410127
1111,Rendah,PPD KLANG,BBA0013,SK PULAU INDAH,"JALAN SIDANG SULAIMAN, PULAU INDAH",42920,PELABUHAN KLANG,SELANGOR,0331012139,0331012144,83,1501,18.08433735,3.044917,101.4455621
1112,Rendah,PPD KLANG,BBA0014,SK TOK MUDA,JLN KG TOK MUDA,42200,KAPAR,SELANGOR,0332500395,0332500395,41,485,11.82926829,3.1252401,101.3998518
1113,Rendah,PPD KLANG,BBA0015,SK BUKIT KUDA,JALAN LANDASAN,41300,KLANG,SELANGOR,0333416115,0333416115,29,435,15,3.0464256,101.4598207
1114,Rendah,PPD KLANG,BBA0016,SK KG RAJA UDA,"JALAN KENANGA, KG RAJA UDA",42000,PELABUHAN KLANG,SELANGOR,0331685810,0331650458,50,825,16.5,3.0162684,101.4094448
1115,Rendah,PPD KLANG,BBA0017,SK PANDAMARAN JAYA,"JALAN 12, PANDAMARAN JAYA",42000,PELABUHAN KLANG,SELANGOR,0331673389,0331651993,68,991,14.57352941,3.044917,101.4455621
1116,Rendah,PPD KLANG,BBA0018,SK KG JOHAN SETIA,JALAN JOHAN SETIA OFF JALAN LANGAT,41200,KLANG,SELANGOR,0351613893,0351610625,77,1332,17.2987013,2.9931096,101.4463825
1117,Rendah,PPD KLANG,BBA0019,SK SUNGAI SERDANG,"BT 13 1/2, JALAN KAPAR",42200,KAPAR,SELANGOR,0332500545,0332500545,42,511,12.16666667,3.1453886,101.3550965
1118,Rendah,PPD KLANG,BBA0021,SK KG PENDAMAR,KAMPUNG PENDAMAR,41200,KLANG,SELANGOR,0331688517,0331688517,54,805,14.90740741,2.967008,101.490712
1119,Rendah,PPD KLANG,BBA0022,SK TELOK GONG,"KG NELAYAN, TELOK GONG",42000,PELABUHAN KLANG,SELANGOR,0331341231,0331341231,75,1273,16.97333333,3.044917,101.4455621
1120,Rendah,PPD KLANG,BBA0023,SK TAMAN KLANG JAYA,"JALAN SERULING 56, OFF JALAN LANGAT",41200,KLANG,SELANGOR,0333237837,0333230741,93,1178,12.66666667,2.9931096,101.4463825
1121,Rendah,PPD PETALING PERDANA,BBA0024,SK TAMAN SRI MUDA,"25/20 JALAN NYAMAN, TAMAN SRI MUDA",40400,SHAH ALAM,SELANGOR,0351212944,0351217694,59,974,16.50847458,3.0329847,101.5278627
1122,Rendah,PPD KLANG,BBA0025,SK TELOK PULAI,TAMAN BERTEK,41100,KLANG,SELANGOR,0333720516,0333743043,79,1330,16.83544304,3.0342784,101.3970138
1123,Rendah,PPD KLANG,BBA0026,SK SUNGAI UDANG,JALAN YADI,41250,KLANG,SELANGOR,0333715071,0333715071,113,1875,16.59292035,3.0385086,101.4188951
1124,Rendah,PPD KLANG,BBA0028,SK PELABUHAN  UTARA,BANDAR SULTAN SULEIMAN,42000,PELABUHAN KLANG,SELANGOR,0331765366,0331766197,97,1476,15.21649485,3.0309948,101.3821337
1125,Rendah,PPD KLANG,BBA0029,SK ABDUL SAMAT,"BATU 11, JALAN KAPAR",42200,KAPAR,SELANGOR,0332509263,0332509263,67,724,10.80597015,3.1330253,101.3760369
1126,Rendah,PPD KLANG,BBA0030,SK MERU,PERSIARAN HAMZAH ALANG,42200,KAPAR,SELANGOR,0333923910,0333923910,104,1612,15.5,3.138715,101.438911
1127,Rendah,PPD KLANG,BBA0031,SK KAMPUNG IDAMAN,JALAN IDAMAN 17,42000,PELABUHAN KLANG,SELANGOR,0331681569,0331650350,86,1327,15.43023256,2.9935074,101.4266099
1128,Rendah,PPD KLANG,BBA0032,SK TAMAN KLANG UTAMA,JALAN HAJI SIRAT,42100,KLANG,SELANGOR,0332918212,0332918212,80,845,10.5625,3.0780242,101.4269714
1129,Rendah,PPD KLANG,BBA0033,SK KAMPUNG JAWA,"JALAN KOTA RAJA, KAMPUNG JAWA",41000,KLANG,SELANGOR,0333732731,0333732731,69,835,12.10144928,3.0290367,101.4680489
1130,Rendah,PPD KLANG,BBA0034,SK TAMAN SRI ANDALAS,"JALAN TUN DR. ISMAIL, OFF JALAN LANGAT",41200,KLANG,SELANGOR,0333721713,0333726148,116,1788,15.4137931,2.9931096,101.4463825
1131,Rendah,PPD KLANG,BBA0035,SK TAMAN GEMBIRA,"JALAN HILIR DUA, TELOK GADONG",41100,KLANG,SELANGOR,0333729943,0333710324,32,412,12.875,3.044917,101.4455621
1132,Rendah,PPD KLANG,BBA0036,SK BUKIT TINGGI,BANDAR BUKIT TINGGI,41200,KLANG,SELANGOR,0333240137,0333240137,69,1333,19.31884058,3.0042675,101.4405691
1133,Rendah,PPD KLANG,BBA0037,SK BUKIT KEMUNING 2,"LOT N0 4, JALAN ANGGERIK DORITIS 31/143",40460,SHAH ALAM,SELANGOR,0351227124,0351219914,77,1408,18.28571429,2.9898154,101.5426022
1134,Rendah,PPD KLANG,BBA0038,SK MERU (2),"JALAN PAIP, PEKAN MERU",41050,KLANG,SELANGOR,0333931598,0333927951,89,1276,14.33707865,3.149916,101.4569641
1135,Rendah,PPD KLANG,BBA0039,SK SUNGAI KAPAR INDAH,"JLN SUNGAI KAPAR INDAH 6, TMN SUNGAI KAPAR INDAH",42200,KAPAR,SELANGOR,0332902324,0332904355,66,1064,16.12121212,3.097622,101.3787968
1136,Rendah,PPD KLANG,BBA0040,SEKOLAH KEBANGSAAN KOTA KEMUNING,"JALAN ANGGERIK ARANDA 31/8, KOTA KEMUNING",40460,SHAH ALAM,SELANGOR,0351216436,0351210657,54,708,13.11111111,2.9971871,101.5486488
1137,Rendah,PPD KLANG,BBA0041,SK KAMPUNG JAWA 2,JALAN KOTA RAJA,41000,KLANG,SELANGOR,0333725391,0333713435,76,1200,15.78947368,3.0283868,101.4623793
1138,Rendah,PPD KLANG,BBA0042,SK PULAU INDAH (2),"BANDAR ARMADA PUTRA, PULAU INDAH",42900,PELABUHAN KLANG,SELANGOR,0331014070,0331014070,43,560,13.02325581,2.9777699,101.3451003
1139,Rendah,PPD KLANG,BBA0043,SK BUKIT RIMAU,"11 PERSIARAN SUNGAI SELANGOR, SEKSYEN 32",40460,SHAH ALAM,SELANGOR,0351224148,0351224148,109,1737,15.93577982,2.996254,101.524803
