Kod Sekolah,Bil,Peringkat Sekolah,PPD,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Alamat
ABA0001,1,Rendah,PPD BATANG PADANG,SK TOH TANDEWA SAKTI,JALAN KELAB,35000,TAPAH,PERAK,54011341,54010387,,,,,"SK TOH TANDEWA SAKTI, JALAN KELAB, 35000, TAPAH, PERAK"
ABA0002,2,Rendah,PPD BATANG PADANG,SK PENDITA ZA'BA,JALAN TAPAH ROAD,35400,TAPAH ROAD,PERAK,54182740,54182740,,,,,"SK PENDITA ZA'BA, JALAN TAPAH ROAD, 35400, TAPAH ROAD, PERAK"
ABA0003,3,Rendah,PPD BATANG PADANG,SK BANIR,BANIR,35400,TAPAH ROAD,PERAK,54270085,54270085,,,,,"SK BANIR, BANIR, 35400, TAPAH ROAD, PERAK"
ABA0004,4,Rendah,PPD BATANG PADANG,SK TEMOH,KAMPUNG TEMOH STESEN,35350,TEMOH,PERAK,54690253,54690263,,,,,"SK TEMOH, KAMPUNG TEMOH STESEN, 35350, TEMOH, PERAK"
ABA0005,5,Rendah,PPD BATANG PADANG,SK CHENDERIANG,JALAN CHENDERIANG,35300,CHENDERIANG,PERAK,54161461,54161461,,,,,"SK CHENDERIANG, JALAN CHENDERIANG, 35300, CHENDERIANG, PERAK"
ABA0006,6,Rendah,PPD BATANG PADANG,SK BIDOR,JALAN SUNGKAI,35500,BIDOR,PERAK,54340797,54340797,,,,,"SK BIDOR, JALAN SUNGKAI, 35500, BIDOR, PERAK"
ABA0007,7,Rendah,PPD BATANG PADANG,SK KAMPONG POH,KAMPONG POH,35500,BIDOR,PERAK,54270103,TIADA,,,,,"SK KAMPONG POH, KAMPONG POH, 35500, BIDOR, PERAK"
ABA0008,8,Rendah,PPD BATANG PADANG,SK BATU TIGA,KAMPUNG BATU TIGA,35350,TEMOH,PERAK,54198507,54190161,,,,,"SK BATU TIGA, KAMPUNG BATU TIGA, 35350, TEMOH, PERAK"
ABA0009,9,Rendah,PPD BATANG PADANG,SK BATU MELINTANG,KAMPUNG BATU MELINTANG,35000,TAPAH,PERAK,54270035,54270035,,,,,"SK BATU MELINTANG, KAMPUNG BATU MELINTANG, 35000, TAPAH, PERAK"
ABA0010,10,Rendah,PPD BATANG PADANG,SK HAJI HASAN,CHANGKAT PETAI,35400,TAPAH ROAD,PERAK,56591069,56591069,,,,,"SK HAJI HASAN, CHANGKAT PETAI, 35400, TAPAH ROAD, PERAK"
ABA0011,11,Rendah,PPD BATANG PADANG,SK SRI KINJANG,CHENDERIANG,35300,CHENDERIANG,PERAK,TIADA,TIADA,,,,,"SK SRI KINJANG, CHENDERIANG, 35300, CHENDERIANG, PERAK"
ABA0012,12,Rendah,PPD BATANG PADANG,SK KAMPONG PAHANG,JALAN PAHANG,35000,TAPAH,PERAK,54010396,54010396,,,,,"SK KAMPONG PAHANG, JALAN PAHANG, 35000, TAPAH, PERAK"
ABA0013,13,Rendah,PPD BATANG PADANG,SK BATU TUJUH,JALAN PAHANG,35000,TAPAH,PERAK,54010735,54010735,,,,,"SK BATU TUJUH, JALAN PAHANG, 35000, TAPAH, PERAK"
ABA0014,14,Rendah,PPD BATANG PADANG,SK JERAM MENGKUANG,BATU 5, JERAM MENGKUANG,35500,BIDOR,PERAK,54270118,54270119,,,,"SK JERAM MENGKUANG, BATU 5,  JERAM MENGKUANG, 35500, BIDOR"
ABA0015,15,Rendah,PPD BATANG PADANG,SK SUNGAI LESONG,KG SUNGAI LESONG,31950,MAMBANG DI AWAN,PERAK,54780468,54780468,,,,,"SK SUNGAI LESONG, KG SUNGAI LESONG, 31950, MAMBANG DI AWAN, PERAK"
ABA0016,16,Rendah,PPD BATANG PADANG,SK AYER KUNING,AYER KUNING KAMPAR,31920,KAMPAR,PERAK,54789326,54789326,,,,,"SK AYER KUNING, AYER KUNING KAMPAR, 31920, KAMPAR, PERAK"
ABA0017,17,Rendah,PPD BATANG PADANG,SK BATU MASJID,KAMPONG BATU MASJID,35350,TEMOH,PERAK,54270021,TIADA,,,,,"SK BATU MASJID, KAMPONG BATU MASJID, 35350, TEMOH, PERAK"
ABA0018,18,Rendah,PPD BATANG PADANG,SK SUNGKAI,SUNGKAI,35600,SUNGKAI,PERAK,54388434,54388434,,,,,"SK SUNGKAI, SUNGKAI, 35600, SUNGKAI, PERAK"
ABA0019,19,Rendah,PPD BATANG PADANG,SK PERLOK,JALAN MENDERANG,35600,SUNGKAI,PERAK,54386911,54386911,,,,,"SK PERLOK, JALAN MENDERANG, 35600, SUNGKAI, PERAK"
ABA0020,20,Rendah,PPD BATANG PADANG,SK BIKAM,KG.BIKAM,35600,SUNGKAI,PERAK,54386179,54386179,,,,,"SK BIKAM, KG.BIKAM, 35600, SUNGKAI, PERAK"
ABA0021,21,Rendah,PPD BATANG PADANG,SK AMINUDIN BAKI,JALAN STESEN,35800,SLIM RIVER,PERAK,54520650,54520650,,,,,"SK AMINUDIN BAKI, JALAN STESEN, 35800, SLIM RIVER, PERAK"
ABA0022,22,Rendah,PPD BATANG PADANG,SK BALUN,KG. BALUN,35820,SLIM RIVER,PERAK,54527044,54527044,,,,,"SK BALUN, KG. BALUN, 35820, SLIM RIVER, PERAK"
ABA0023,23,Rendah,PPD BATANG PADANG,SK DATUK NAN KAYA,KAMPONG KELAWAR,35900,TANJONG MALIM,PERAK,165918271,TIADA,,,,,"SK DATUK NAN KAYA, KAMPONG KELAWAR, 35900, TANJONG MALIM, PERAK"
ABA0024,24,Rendah,PPD BATANG PADANG,SK CHANGKAT SULAIMAN,KG.CHANGKAT SULAIMAN,35600,SUNGKAI,PERAK,54389843,54389843,,,,,"SK CHANGKAT SULAIMAN, KG.CHANGKAT SULAIMAN, 35600, SUNGKAI, PERAK"
ABA0025,25,Rendah,PPD BATANG PADANG,SK ULU SLIM,KG. ULU SLIM,35800,SLIM RIVER,PERAK,193444521,TIADA,,,,,"SK ULU SLIM, KG. ULU SLIM, 35800, SLIM RIVER, PERAK"
ABA0026,26,Rendah,PPD BATANG PADANG,SK KUALA SLIM,KG. KUALA SLIM,35800,SLIM RIVER,PERAK,54520072,54520072,,,,,"SK KUALA SLIM, KG. KUALA SLIM, 35800, SLIM RIVER, PERAK"
ABA0027,27,Rendah,PPD BATANG PADANG,SK TANJONG MALIM,JALAN KETOYONG,35900,TANJONG MALIM,PERAK,54595694,54585924,,,,,"SK TANJONG MALIM, JALAN KETOYONG, 35900, TANJONG MALIM, PERAK"
ABA0028,28,Rendah,PPD BATANG PADANG,SK BEHRANG,BATU 8, BEHRANG ULU,35950,BEHRANG STESEN,PERAK,TIADA,TIADA,,,,"SK BEHRANG, BATU 8,  BEHRANG ULU, 35950, BEHRANG STESEN"
ABA0029,29,Rendah,PPD BATANG PADANG,SK SLIM VILLAGE,KAMPUNG SLIM,35800,SLIM RIVER,PERAK,54527387,54527387,,,,,"SK SLIM VILLAGE, KAMPUNG SLIM, 35800, SLIM RIVER, PERAK"
ABA0030,30,Rendah,PPD BATANG PADANG,SK DATO' KAMARUDDIN,JALAN KAMPUNG PAUH,35950,BEHRANG STESEN,PERAK,54544218,54544218,,,,,"SK DATO' KAMARUDDIN, JALAN KAMPUNG PAUH, 35950, BEHRANG STESEN, PERAK"
ABA0031,31,Rendah,PPD BATANG PADANG,SK FELDA SUNGAI KELAH,FELDA SUNGAI KELAH,35600,SUNGKAI,PERAK,54388500,54388501,,,,,"SK FELDA SUNGAI KELAH, FELDA SUNGAI KELAH, 35600, SUNGKAI, PERAK"
ABA0032,32,Rendah,PPD BATANG PADANG,SK SUNGAI BEHRANG,FELDA SUNGAI BEHRANG,35820,SLIM RIVER,PERAK,54542679,54542679,,,,,"SK SUNGAI BEHRANG, FELDA SUNGAI BEHRANG, 35820, SLIM RIVER, PERAK"
ABA0033,33,Rendah,PPD BATANG PADANG,SK TROLAK TIMUR,FELDA TROLAK TIMUR,35700,TROLAK,PERAK,54323451,54323451,,,,,"SK TROLAK TIMUR, FELDA TROLAK TIMUR, 35700, TROLAK, PERAK"
ABA0034,34,Rendah,PPD BATANG PADANG,SK BATU 14,JALAN PAHANG,35000,TAPAH,PERAK,TIADA,TIADA,,,,,"SK BATU 14, JALAN PAHANG, 35000, TAPAH, PERAK"
ABA0035,35,Rendah,PPD BATANG PADANG,SK BESOUT 3,FELDA GUNUNG BESOUT 3,35600,SUNGKAI,PERAK,54312313,54312313,,,,,"SK BESOUT 3, FELDA GUNUNG BESOUT 3, 35600, SUNGKAI, PERAK"
ABA0110,36,Rendah,PPD BATANG PADANG,SK TROLAK UTARA,FELDA TROLAK UTARA,35600,SUNGKAI,PERAK,54323189,54321004,,,,,"SK TROLAK UTARA, FELDA TROLAK UTARA, 35600, SUNGKAI, PERAK"
ABA0118,37,Rendah,PPD BATANG PADANG,SK TROLAK SELATAN,FELDA TROLAK SELATAN,35600,SUNGKAI,PERAK,54323534,54322734,,,,,"SK TROLAK SELATAN, FELDA TROLAK SELATAN, 35600, SUNGKAI, PERAK"
ABA0120,38,Rendah,PPD BATANG PADANG,SK SERI BESOUT,FELDA GUNUNG BESOUT 01,35600,SUNGKAI,PERAK,54311819,54311819,,,,,"SK SERI BESOUT, FELDA GUNUNG BESOUT 01, 35600, SUNGKAI, PERAK"
ABA0121,39,Rendah,PPD BATANG PADANG,SK BESOUT 4,FELDA BESOUT 4,35600,SUNGKAI,PERAK,TIADA,TIADA,,,,,"SK BESOUT 4, FELDA BESOUT 4, 35600, SUNGKAI, PERAK"
ABA0122,40,Rendah,PPD BATANG PADANG,SK BESOUT 5,FELDA GUNUNG BESOUT 5,35600,SUNGKAI,PERAK,194630861,TIADA,,,,,"SK BESOUT 5, FELDA GUNUNG BESOUT 5, 35600, SUNGKAI, PERAK"
ABA0123,41,Rendah,PPD BATANG PADANG,SK POS BERSIH,ULU SLIM,35800,SLIM RIVER,PERAK,TIADA,TIADA,,,,,"SK POS BERSIH, ULU SLIM, 35800, SLIM RIVER, PERAK"
ABA0124,42,Rendah,PPD BATANG PADANG,SK POS TENAU,ULU SLIM,35800,SLIM RIVER,PERAK,TIADA,TIADA,,,,,"SK POS TENAU, ULU SLIM, 35800, SLIM RIVER, PERAK"
ABA0125,43,Rendah,PPD BATANG PADANG,SK POS GEDONG,PETI SURAT 20,35500,BIDOR,PERAK,TIADA,TIADA,,,,,"SK POS GEDONG, PETI SURAT 20, 35500, BIDOR, PERAK"
ABA0126,44,Rendah,PPD BATANG PADANG,SK KAMPUNG SENTA,PETI SURAT 20,35500,BIDOR,PERAK,TIADA,TIADA,,,,,"SK KAMPUNG SENTA, PETI SURAT 20, 35500, BIDOR, PERAK"
ABA0127,45,Rendah,PPD BATANG PADANG,SK POS MUSUH LZ,PETI SURAT 51,35000,TAPAH,PERAK,TIADA,TIADA,,,,,"SK POS MUSUH LZ, PETI SURAT 51, 35000, TAPAH, PERAK"
ABA0128,46,Rendah,PPD BATANG PADANG,SK JERNANG,P/SURAT 14, PEJABAT POS SUNGKAI,35600,SUNGKAI,PERAK,195459453,TIADA,,,,"SK JERNANG, P/SURAT 14,  PEJABAT POS SUNGKAI, 35600, SUNGKAI"
ABA0129,47,Rendah,PPD BATANG PADANG,SK TAPAH,JALAN BIDOR LAMA,35000,TAPAH,PERAK,54016122,54016122,,,,,"SK TAPAH, JALAN BIDOR LAMA, 35000, TAPAH, PERAK"
ABA0130,48,Rendah,PPD BATANG PADANG,SK BIDOR 2,JALAN TELUK INTAN,35500,BIDOR,PERAK,54341216,54340926,,,,,"SK BIDOR 2, JALAN TELUK INTAN, 35500, BIDOR, PERAK"
ABA0131,49,Rendah,PPD BATANG PADANG,SK PROTON CITY,BANDAR PROTON,35900,TANJONG MALIM,PERAK,54581128,54581129,,,,,"SK PROTON CITY, BANDAR PROTON, 35900, TANJONG MALIM, PERAK"
ABA0132,50,Rendah,PPD BATANG PADANG,SEKOLAH KEBANGSAAN BANDAR BEHRANG 2020,JALAN WAWASAN MESRA,35900,TANJONG MALIM,PERAK,54583435,54583439,,,,,"SEKOLAH KEBANGSAAN BANDAR BEHRANG 2020, JALAN WAWASAN MESRA, 35900, TANJONG MALIM, PERAK"
ABA1001,51,Rendah,PPD MANJUNG,SK DENDANG,KAMPUNG DENDANG,32700,BERUAS,PERAK,52560031,52560031,,,,,"SK DENDANG, KAMPUNG DENDANG, 32700, BERUAS, PERAK"
ABA1002,52,Rendah,PPD MANJUNG,SK BERUAS,JALAN PARIT,32700,BERUAS,PERAK,56740696,56749009,,,,,"SK BERUAS, JALAN PARIT, 32700, BERUAS, PERAK"
