no_number,namehospital_value,alamat_value,bandar_value,negeri_value,col_link,col_link/_text,col_link/_title,col_image,col_image/_alt
"2","Hospital Ampang","Jalan Mewah Utara","Ampang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/3/116","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"6","Hospital Banting","Jalan Sultan Alam Shah","Banting","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/3/120","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"32","Hospital Kajang","Jalan Semenyih","Kajang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/3/117","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"45","Hospital Kuala Kubu Bharu","Jalan Hospital","Kuala Kubu Bharu","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/3/118","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"67","Hospital Orang Asli","KM 24, Jalan Pahang Lama, 53100 Gombak, Selangor","Gombak","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/3/141","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"91","Hospital Selayang","Lebuhraya Selayang-Kepong","Batu Caves","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/3/114","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"94","Hospital Serdang","Jalan Puchong","Kajang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/3/123","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"113","Hospital Sungai Buloh","Jalan Hospital","Sungai Buluh","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/3/115","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"120","Hospital Tanjung Karang","Tanjung Karang","Tanjung Karang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/3/121","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"126","Hospital Tengku Ampuan Jemaah","45200 Sabak Bernam","Sabak Bernam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/3/122","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"127","Hospital Tengku Ampuan Rahimah","Jalan Langat,41200 Klang","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/3/119","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"139","Pusat Kawalan Kusta Negara","Sungai Buluh","Sungai Buluh","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/3/137","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
