no_number,namaklinik_value,alamat_description,bandar_value,negeri_value,col_link,col_link/_text,col_link/_title,col_image,col_image/_alt
"3","Klinik Desa Sungai Lima","42490 Pulau Ketam","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/3","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"54","Klinik Desa Asam Jawa","45700 Bukit Rotan","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/54","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"73","Klinik Desa Bagan Pasir","Jalan Bagan Pasir 45500 Tanjung Karang","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/73","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"77","Klinik Desa Bagan Teochew","42490 Pulau Ketam","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/77","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"84","Klinik Desa Balakong","43300 Balakong","Hulu Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/84","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"98","Klinik Desa Bangi Lama","43000 Kajang","Bangi","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/98","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"105","Klinik Desa Batang Kali","44300 Hulu Selangor","Batang Kali","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/105","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"112","Klinik Desa Batu 13 1/2,","Puchong","Petaling","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/112","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"115","Klinik Desa Batu 18","43100 Hulu Langat","Hulu Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/115","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"127","Klinik Desa Batu 4 Sepintas","Jalan Sekolah","Sabak Bernam","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/127","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"140","Klinik Desa Batu Belah Klang","Jalan Istimewa","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/140","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"152","Klinik Desa Batu Laut","42800 Kuala Langat","Kuala Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/152","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"209","Klinik Desa Berjuntai Bistari","Kampung Berjuntai Bistari, Bestari Jaya","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/209","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"233","Klinik Desa Broga","43500 Semenyih","Semenyih","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/233","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"242","Klinik Desa Bukit Badong","Jalan Dato' Karjan","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/242","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"244","Klinik Desa Bukit Bangkong","43950 Sungai Pelek","Sepang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/244","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"246","Klinik Desa Bukit Belimbing","45000 Kuala Selangor","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/246","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"250","Klinik Desa Bukit Cerakah","45800 Jeram","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/250","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"268","Klinik Desa Bukit Kapar","Jalan Iskandar","Meru","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/268","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"273","Klinik Desa Bukit Kerayong","45800 Jeram","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/273","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"276","Klinik Desa Bukit Kuching","45800 Jeram","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/276","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"285","Klinik Desa Bukit Naga","Batu 6, Jalan Klinik","Klang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/285","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"377","Klinik Desa Dato Abu Bakar Baginda","","Kajang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/377","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"390","Klinik Desa Dusun Tua","Batu 16, Hulu Langat","Hulu Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/390","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"437","Klinik Desa Geching","Jalan Desa Harapan","Salak Tinggi","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/437","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"438","Klinik Desa Gedangsa","44020 Hulu Selangor","Hulu Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/438","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"449","Klinik Desa Genting Malek","44300 Hulu Selangor","Hulu Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/449","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
